,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
74,BSX,41.400001525878906,44.9900016784668,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1979
75,BMY,57.130001068115234,63.72999954223633,Bristol Myers Squibb,Health Care,Health Care Distributors,"New York City, New York",1989
76,AVGO,590.4000244140625,313.4599914550781,Broadcom,Information Technology,Semiconductors,"San Jose, California",1961
77,BR,174.22000122070312,122.79000091552734,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1962
78,BRO,67.05000305175781,39.36000061035156,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",1939
79,CHRW,98.29000091552734,77.54000091552734,C. H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1905
80,CDNS,182.77000427246094,69.98999786376953,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",1988
81,CZR,90.37999725341797,59.0099983215332,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1973
82,CPB,41.119998931884766,49.25,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869
83,COF,148.5800018310547,102.63999938964844,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1994
84,CAH,48.099998474121094,50.77000045776367,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1971
85,KMX,149.91000366210938,87.43000030517578,CarMax,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1993
86,CCL,18.5,51.02000045776367,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1972
87,CTLT,123.48999786376953,56.63999938964844,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2007
88,CAT,204.49000549316406,147.52000427246094,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1925
89,CBOE,130.97000122070312,119.25,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1973
90,CBRE,102.30999755859375,61.040000915527344,CBRE,Real Estate,Real Estate Services,"Dallas, Texas",1906
91,CDW,198.2100067138672,142.77999877929688,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",1984
92,CE,159.85000610351562,122.69999694824219,Celanese,Materials,Specialty Chemicals,"Irving, Texas",1918
93,CNC,73.4000015258789,63.040000915527344,Centene,Health Care,Managed Health Care,"St. Louis, Missouri",1984
94,CNP,27.8799991607666,26.90999984741211,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1882
95,CDAY,106.86000061035156,68.01000213623047,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",1992
96,CERN,73.77999877929688,73.11000061035156,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",1979
97,CF,60.02000045776367,47.36000061035156,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1946
