,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry
98,CRL,366.75,151.83999633789062,Charles River Laboratories,Health Care,Life Sciences Tools & Services
99,SCHW,81.30999755859375,47.81999969482422,Charles Schwab,Financials,Investment Banking & Brokerage
100,CHTR,650.5999755859375,483.0799865722656,Charter Communications,Communication Services,Cable & Satellite
101,CVX,117.91999816894531,119.8499984741211,Chevron,Energy,Integrated Oil & Gas
102,CMG,1711.739990234375,836.0700073242188,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
103,CB,188.0399932861328,155.30999755859375,Chubb,Financials,Property & Casualty Insurance
104,CHD,92.94000244140625,70.3499984741211,Church & Dwight,Consumer Staples,Household Products
105,CI,207.97000122070312,202.97000122070312,Cigna,Health Care,Managed Health Care
106,CINF,117.76000213623047,104.44000244140625,Cincinnati Financial,Financials,Property & Casualty Insurance
107,CTAS,446.0199890136719,268.3599853515625,Cintas Corporation,Industrials,Diversified Support Services
108,CSCO,58.08000183105469,47.59000015258789,Cisco Systems,Information Technology,Communications Equipment
109,C,62.900001525878906,79.51000213623047,Citigroup,Financials,Diversified Banks
110,CFG,48.33000183105469,40.43000030517578,Citizens Financial Group,Financials,Regional Banks
111,CTXS,80.86000061035156,110.36000061035156,Citrix Systems,Information Technology,Application Software
112,CLX,165.25999450683594,152.8800048828125,Clorox,Consumer Staples,Household Products
113,CME,231.25,199.17999267578125,CME Group,Financials,Financial Exchanges & Data
114,CMS,62.029998779296875,62.59000015258789,CMS Energy,Utilities,Multi-Utilities
115,KO,55.209999084472656,55.27000045776367,Coca-Cola,Consumer Staples,Soft Drinks
116,CTSH,81.44999694824219,61.650001525878906,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
117,CL,77.80999755859375,68.79000091552734,Colgate-Palmolive,Consumer Staples,Household Products
118,CMCSA,49.58000183105469,45.18000030517578,Comcast,Communication Services,Cable & Satellite
119,CMA,85.55999755859375,71.4000015258789,Comerica,Financials,Diversified Banks
120,CAG,31.799999237060547,34.040000915527344,Conagra Brands,Consumer Staples,Packaged Foods & Meats
121,COP,74.56999969482422,64.61000061035156,ConocoPhillips,Energy,Oil & Gas Exploration & Production
122,ED,81.55999755859375,90.19000244140625,Consolidated Edison,Utilities,Electric Utilities
123,STZ,233.8300018310547,188.3699951171875,Constellation Brands,Consumer Staples,Distillers & Vintners
124,COO,406.1700134277344,319.45001220703125,The Cooper Companies,Health Care,Health Care Supplies
125,CPRT,150.6199951171875,90.86000061035156,Copart,Industrials,Diversified Support Services
126,GLW,38.22999954223633,29.010000228881836,Corning,Information Technology,Electronic Components
127,CTVA,47.75,28.860000610351562,Corteva,Materials,Fertilizers & Agricultural Chemicals
128,COST,542.02001953125,295.1400146484375,Costco,Consumer Staples,Hypermarkets & Super Centers
129,CTRA,20.1200008392334,17.1299991607666,Coterra,Energy,Oil & Gas Exploration & Production
130,CCI,192.14999389648438,141.39999389648438,Crown Castle,Real Estate,Specialized REITs
131,CSX,37.09000015258789,24.113332748413086,CSX,Industrials,Railroads
132,CMI,219.77000427246094,179.16000366210938,Cummins,Industrials,Industrial Machinery
133,CVS,92.93000030517578,73.69999694824219,CVS Health,Health Care,Health Care Services
134,DHI,106.16000366210938,52.54999923706055,D. R. Horton,Consumer Discretionary,Homebuilding
135,DHR,313.3500061035156,152.83999633789062,Danaher,Health Care,Health Care Equipment
136,DRI,148.1199951171875,108.95999908447266,Darden Restaurants,Consumer Discretionary,Restaurants
137,DVA,103.12000274658203,74.08000183105469,DaVita,Health Care,Health Care Facilities
138,DE,361.3399963378906,174.16000366210938,Deere & Co.,Industrials,Agricultural & Farm Machinery
139,DAL,38.040000915527344,58.65999984741211,Delta Air Lines,Industrials,Airlines
140,XRAY,52.63999938964844,56.400001525878906,Dentsply Sirona,Health Care,Health Care Supplies
141,DVN,45.119998931884766,25.530000686645508,Devon Energy,Energy,Oil & Gas Exploration & Production
142,DXCM,558.4000244140625,216.19000244140625,DexCom,Health Care,Health Care Equipment
143,FANG,115.58999633789062,91.06999969482422,Diamondback Energy,Energy,Oil & Gas Exploration & Production
144,DLR,167.4199981689453,118.30999755859375,Digital Realty Trust,Real Estate,Specialized REITs
145,DFS,114.37999725341797,84.52999877929688,Discover Financial Services,Financials,Consumer Finance
146,DISCA,24.219999313354492,32.7599983215332,Discovery (Series A),Communication Services,Broadcasting
147,DISCK,23.389999389648438,30.510000228881836,Discovery (Series C),Communication Services,Broadcasting
148,DISH,32.130001068115234,35.38999938964844,Dish Network,Communication Services,Cable & Satellite
149,DG,224.5,157.35000610351562,Dollar General,Consumer Discretionary,General Merchandise Stores
150,DLTR,137.97999572753906,93.48999786376953,Dollar Tree,Consumer Discretionary,General Merchandise Stores
151,D,75.45999908447266,82.08000183105469,Dominion Energy,Utilities,Electric Utilities
152,DPZ,537.4299926757812,293.25,Domino's Pizza,Consumer Discretionary,Restaurants
153,DOV,172.25,115.23999786376953,Dover Corporation,Industrials,Industrial Machinery
154,DOW,54.86000061035156,54.34000015258789,Dow,Materials,Commodity Chemicals
155,DTE,115.01000213623047,109.80425262451172,DTE Energy,Utilities,Multi-Utilities
156,DUK,101.16999816894531,90.79000091552734,Duke Energy,Utilities,Electric Utilities
157,DRE,61.400001525878906,34.380001068115234,Duke Realty Corp,Real Estate,Industrial REITs
158,DD,77.54000091552734,62.290000915527344,DuPont,Materials,Specialty Chemicals
159,DXC,31.450000762939453,36.58000183105469,DXC Technology,Information Technology,IT Consulting & Other Services
160,EMN,113.56999969482422,78.3499984741211,Eastman Chemical,Materials,Diversified Chemicals
161,ETN,170.58999633789062,94.93000030517578,Eaton Corporation,Industrials,Electrical Components & Equipment
162,EBAY,67.2300033569336,35.79999923706055,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
163,ECL,230.75999450683594,191.6199951171875,Ecolab,Materials,Specialty Chemicals
164,EIX,67.26000213623047,74.70999908447266,Edison International,Utilities,Electric Utilities
165,EW,115.5199966430664,77.47333526611328,Edwards Lifesciences,Health Care,Health Care Equipment
166,EA,126.1500015258789,106.93000030517578,Electronic Arts,Communication Services,Interactive Home Entertainment
167,EMR,92.2300033569336,76.44000244140625,Emerson Electric,Industrials,Electrical Components & Equipment
168,ENPH,222.55999755859375,25.3700008392334,Enphase Energy,Information Technology,Electronic Components
169,ETR,104.8499984741211,119.27999877929688,Entergy,Utilities,Electric Utilities
170,EOG,90.55999755859375,82.38999938964844,EOG Resources,Energy,Oil & Gas Exploration & Production
171,EFX,291.8599853515625,138.9199981689453,Equifax,Industrials,Research & Consulting Services
172,EQIX,812.8599853515625,580.239990234375,Equinix,Real Estate,Specialized REITs
173,EQR,86.1500015258789,80.72000122070312,Equity Residential,Real Estate,Residential REITs
174,ESS,344.95001220703125,299.7099914550781,Essex Property Trust,Real Estate,Residential REITs
175,EL,353.6400146484375,206.39999389648438,Estée Lauder Companies,Consumer Staples,Personal Products
176,ETSY,237.4499969482422,44.470001220703125,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
177,EVRG,66.66999816894531,64.2300033569336,Evergy,Utilities,Electric Utilities
178,ES,87.30000305175781,84.41000366210938,Eversource Energy,Utilities,Multi-Utilities
179,RE,270.8900146484375,277.45001220703125,Everest Re,Financials,Reinsurance
180,EXC,53.91999816894531,45.380001068115234,Exelon,Utilities,Multi-Utilities
181,EXPE,166.57000732421875,107.7699966430664,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
182,EXPD,129.4499969482422,77.98999786376953,Expeditors,Industrials,Air Freight & Logistics
183,EXR,208.6999969482422,104.31999969482422,Extra Space Storage,Real Estate,Specialized REITs
184,XOM,62.27000045776367,69.4800033569336,ExxonMobil,Energy,Integrated Oil & Gas
185,FFIV,232.1999969482422,139.2899932861328,F5,Information Technology,Communications Equipment
186,FAST,63.209999084472656,36.95000076293945,Fastenal,Industrials,Building Products
187,FRT,131.72000122070312,128.4600067138672,Federal Realty Investment Trust,Real Estate,Retail REITs
188,FDX,247.05999755859375,150.13999938964844,FedEx,Industrials,Air Freight & Logistics
189,FIS,106.94999694824219,138.60000610351562,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services
190,FITB,44.08000183105469,30.549999237060547,Fifth Third Bancorp,Financials,Regional Banks
191,FE,39.459999084472656,48.4900016784668,FirstEnergy,Utilities,Electric Utilities
